text příjmení;četnost
KARBAN;887
JIRSA;886
BÍNA;885
ŘEHÁČEK;885
TRUHLÁŘ;885
BARTOŠEK;884
FABIÁN;884
KAREL;884
JANOTA;880
ŽÍDEK;878
HANOUSEK;875
HRUBEŠ;875
CHROMÝ;875
SVAČINA;873
KRUPKA;872
VAVŘÍK;872
JÍRA;871
ŠIMÁK;871
HROCH;870
MATYS;869
BŘÍZA;868
KOUDELA;868
WEBER;868
HANZAL;866
LANGR;864
ZDRAŽIL;864
ZEZULA;864
NEUMAN;863
ŠKRABAL;863
FRYDRYCH;859
KLIMENT;859
ZVĚŘINA;859
HEJNA;857
ROUS;856
BOROVIČKA;854
FERKO;853
KUBIŠ;853
POTŮČEK;853
RŮŽEK;853
JUŘICA;852
KAISER;852
KALIVODA;851
HOLAS;850
KALA;850
ŠPIČKA;850
DĚDEK;849
MENCL;849
ŠÍP;849
KREJČÍŘ;847
ŠÍR;844
ZEDNÍK;844
KUŽEL;843
STEINER;840
VODRÁŽKA;840
VYDRA;840
JOHN;839
JIRÁNEK;836
KRIŠTOF;836
HRDÝ;835
ŽEMLIČKA;834
NOVOSAD;833
RAMBOUSEK;833
LAKATOŠ;832
VÍŠEK;830
HOŘEJŠÍ;828
JIŘÍK;828
KUPEC;828
SYROVÝ;828
HLÁVKA;827
VOTRUBA;827
DUCHOŇ;825
ŠVESTKA;825
CHUDOBA;824
MIKULÁŠEK;824
MRÁČEK;823
PEŠKA;823
FOUSEK;822
KAVKA;821
NEDBAL;821
KUBELKA;820
FARKAŠ;819
SMRŽ;819
ŠTEFL;819
PAVLŮ;818
STUDNIČKA;818
BAŽANT;817
KNAP;817
LÁTAL;817
TVRDÍK;817
NEŠPOR;815
SLUKA;815
KALÁB;814
POUR;814
SMRČKA;814
BARÁK;812
PRACHAŘ;812
HECZKO;809
MOKRÝ;807
TUREČEK;807
VRZAL;804
HANÁČEK;803
KRAJÍČEK;803
HOLAN;801
JURČÍK;800
MOUČKA;800
PLŠEK;800
SEMERÁD;800
SEVERA;800
DUNKA;799
KLOUČEK;798
KYNCL;797
SRB;797
SOMMER;796
JIRKŮ;793
MINÁŘ;793
RÁC;793
MOTL;792
MIRGA;791
LEVÝ;790
URBANEC;788
KOCH;787
KUBEC;787
KOPAL;786
MOUDRÝ;782
WALTER;782
KOCMAN;779
FUKSA;778
ŽŮREK;778
MAXA;776
VYMAZAL;776
BAŠTA;775
JAKL;775
HRABOVSKÝ;774
BEČKA;773
MACURA;773
REMEŠ;773
DOLEČEK;770
DOSKOČIL;770
GRYGAR;769
JELEN;769
KRUPA;769
