text příjmení;četnost
DORDYAY;18
DOROSH;18
DUDASH;18
DYACHENKO;18
FEDORENKO;18
FEDORCHUK;18
GIBLO;18
GRABOWSKI;18
HARTMANN;18
HOFER;18
HOLOVNYCH;18
HUDAK;18
HUK;18
HULA;18
HUSTEY;18
JANO;18
JUHÁSZ;18
KALYNYUK;18
KAPUSTA;18
KATRYNETS;18
KISS;18
KOCH;18
KOMAR;18
KONEČNÝ;18
KOPYNETS;18
KOTSAN;18
KOZLOWSKI;18
KULIK;18
KUZMIN;18
LEHACH;18
MATEJKA;18
MÁTÉ;18
MELNIKOV;18
MICHEL;18
MILLER;18
MOLDOVAN;18
MYKHAYLOV;18
MYKYTYNETS;18
NAZARUK;18
NGUYEN CAO;18
NGUYEN THAI;18
NGUYEN VU;18
PAKANYCH;18
PALOSH;18
PAVLENKO;18
PETRYUK;18
PHAM VIET;18
PITSUR;18
POLAK;18
POLYANCHUK;18
PYLYPCHUK;18
PYLYPIV;18
PYLYPKO;18
REPKA;18
RUDYY;18
RYASHKO;18
SAKALOSH;18
SAVULA;18
SEMKIV;18
SCHRÖDER;18
STAŇO;18
SZYMANSKI;18
ŠOLTÉS;18
TAMÁŠ;18
TANG;18
THOMAS;18
TRAN CONG;18
TRINH XUAN;18
TURCHYN;18
TYMCHYSHYN;18
VATSYK;18
VAVREK;18
VESELOVSKÝ;18
VOYTOVYCH;18
VU HONG;18
YAKOVLEV;18
YONASH;18
YORDANOV;18
ZAKHARCHUK;18
ŽÁK;18
ANTONYUK;17
BANYAS;17
BASARAB;17
BÉREŠ;17
BORISOV;17
BRYANYK;17
BURKALO;17
ČORBA;17
DALEKOREY;17
DAO QUANG;17
DEMYAN;17
DIMOV;17
DO MINH;17
DU;17
EDER;17
FILATOV;17
FRANEK;17
GÁLIK;17
GREGUŠ;17
GUO;17
HAAS;17
HARASYM;17
HO VAN;17
HOVHANNISYAN;17
HUYNH;17
CHENG;17
IVANIV;17
IVANYSHYN;17
JAKUBÍK;17
JANÍK;17
JANKOVIČ;17
JEDINÁK;17
JONÁŠ;17
JUHÁS;17
KANYUKA;17
KARPOV;17
KINASH;17
KIŠŠ;17
KOLESNIKOV;17
KOLOMIYETS;17
KRÁL;17
KRKOŠKA;17
KUCHER;17
KURTA;17
LAKATYSH;17
LE TRUNG;17
LEHOCKÝ;17
LUPTÁK;17
MALYSHEV;17
MASÁR;17
MICHÁLEK;17
MIKHAYLOV;17
MORAVEC;17
MUHAMMAD;17
MYKHALCHYCH;17
NGO DUC;17
NGUYEN CHI;17
NGUYEN KIM;17
NGUYEN NHU;17
NIELSEN;17
NIRODA;17
ONYSKO;17
OSTROVKA;17
PARK;17
PARTYKA;17
PAVLYK;17
PETRYSHCHE;17
PHAM DUY;17
PHAN THANH;17
POLÁČEK;17
POPESCU;17
PORADA;17
POVKH;17
PYLYP;17
QUACH;17
ROMANENKO;17
SHETELYA;17
SLAVA;17
SLÁVIK;17
STANKOVIČ;17
SYMKANYCH;17
TAFIYCHUK;17
